date,Token,Period,price,cfgi,data_price,data_volatility,data_volume,data_impulse,data_technical,data_social,data_dominance,data_trends,datas_whales,data_orders
2022-03-31 00:00:50,BTC,1 Day,46957,60,62,93,60.5,37.5,66.5,17,60,83.5,43.5,98.5
2022-04-01 00:00:48,BTC,1 Day,45765,56,61,97.5,60,19.5,66.5,56,66,57,80.5,84.5
2022-04-02 00:00:50,BTC,1 Day,46311.5,67,61,97.5,60,70,66.5,57,43.5,81,71,86.5
2022-04-03 00:00:48,BTC,1 Day,46255.9,61,63.5,97,61.5,49.5,66.5,17.5,85,54,68.5,99
2022-04-04 00:00:50,BTC,1 Day,46834.5,68,61.5,95,61,75,70,30,81,78.5,79.5,99
2022-04-05 00:00:48,BTC,1 Day,46470.9,59,62,87,60.5,51.5,70,14,84.5,44.5,57,99
2022-04-06 00:00:51,BTC,1 Day,45967.8,55,59,82,60.5,33.5,65.5,7.5,94.5,61,13,74.5
2022-04-07 00:00:48,BTC,1 Day,43800,49,54.5,69,60.5,12,40,1,99,66.5,56,2
2022-04-08 00:02:38,BTC,1 Day,43510,54,49,52,62,59,42.5,1,99,61.5,99,1
2022-04-09 00:00:49,BTC,1 Day,42628.8,47,46.5,48,39,28.5,29,81.5,93,48,37,1
2022-04-10 00:00:41,BTC,1 Day,42575.9,40,46,45,39.5,10,41,58.5,66,51.5,88,9.5
2022-04-11 00:00:39,BTC,1 Day,42663.5,41,39.5,41.5,41,24,36.5,94.5,52.5,45,99,1
2022-04-12 00:00:40,BTC,1 Day,39442.5,33,35,35,42.5,9.5,17.5,1,99,45.5,96.5,34.5
2022-04-13 00:00:43,BTC,1 Day,39655.5,33,34.5,14.5,41,3.5,29,98.5,46,60,95.5,45
2022-04-14 00:00:37,BTC,1 Day,41230.8,35,39.5,7.5,41,11.5,37,88,18,73.5,91.5,99
2022-04-15 00:00:41,BTC,1 Day,39961,41,39.5,8.5,41,36.5,27.5,50,49,86,89.5,36
2022-04-23 17:30:39,BTC,1 Day,39810.9,34,43.5,49.5,42.5,14,22,92,24.5,41.5,84,45.5
2022-04-24 00:00:39,BTC,1 Day,39899.5,32,43.5,49.5,42.5,15,22,65.5,17.5,41.5,91,43.5
2022-04-25 00:00:37,BTC,1 Day,39630.1,32,44,49.5,44,18,27.5,25,24.5,50.5,90.5,43
2022-04-26 00:00:39,BTC,1 Day,40280,45,52,49.5,44.5,45.5,30,36,13,51,83,99
2022-04-27 00:00:42,BTC,1 Day,38316.2,38,46,49.5,43.5,34.5,22,15,20,42,99,92.5
2022-04-28 00:00:37,BTC,1 Day,39247.4,39,45.5,49,42,37.5,30,45.5,8.5,27.5,99,9
2022-04-29 00:00:39,BTC,1 Day,39859.5,42,50,48.5,41.5,35,29,49,26.5,55.5,99,9
2022-04-30 00:00:36,BTC,1 Day,38530.3,48,45.5,51.5,59,51,20,71.5,63.5,33,99,9
2022-05-01 00:00:37,BTC,1 Day,38277,44,45,47.5,41.5,34,22,85.5,66.5,70.5,99,6.5
2022-05-02 00:00:44,BTC,1 Day,38308.6,38,47,45.5,41.5,14.5,34.5,60,68,78,99,2
2022-05-03 00:00:38,BTC,1 Day,38665.9,39,45,45,42.5,34,30,32.5,27,45.5,99,2
2022-05-04 00:00:38,BTC,1 Day,37785.6,39,41.5,44,42,48,22,1,43.5,1,99,2
2022-05-05 00:00:40,BTC,1 Day,39767.3,57,47,57,57.5,75.5,51,70.5,2,56,99,4.5
2022-05-06 00:00:40,BTC,1 Day,36461.7,36,43.5,45,41,24,22,49,74,20,99,92
2022-05-07 00:00:41,BTC,1 Day,35957.2,28,37,44,38.5,10.5,24.5,44,39,44,99,3
2022-05-08 00:00:41,BTC,1 Day,35132.7,24,36,40.5,37.5,1,24.5,7,52,62,98.5,3
2022-05-09 00:00:40,BTC,1 Day,34465.1,24,34.5,3.5,37.5,1,22,33.5,81.5,49.5,99,6
2022-05-10 00:00:43,BTC,1 Day,30865.5,19,24,1,35.5,1,24.5,28,65.5,52.5,99,2
2022-05-11 00:00:41,BTC,1 Day,30200,17,27,2,13.5,1,36,31.5,41.5,34.5,94.5,7
2022-05-12 00:00:40,BTC,1 Day,28967.7,17,23,5.5,7,1,24.5,8,99,31.5,99,40
2022-05-13 00:00:38,BTC,1 Day,28425.8,20,20,3.5,2,5.5,27.5,91.5,1,93,1,34
2022-05-14 00:00:37,BTC,1 Day,30012.5,27,26.5,6,1,21.5,32.5,31.5,56,91.5,93.5,56.5
2022-05-15 00:00:38,BTC,1 Day,29735,35,26.5,19.5,4.5,44.5,32.5,10,47,98.5,96,45.5
2022-05-16 00:00:39,BTC,1 Day,31090.4,56,29,56.5,85,77.5,30,50.5,50,99,99,43
2022-05-17 00:00:41,BTC,1 Day,30185.3,54,28,60.5,73.5,77,22,19.5,70.5,97,94,43
2022-05-19 00:00:38,BTC,1 Day,30592.2,48,31,58,70.5,65.5,30,8.5,44.5,76.5,99,41.5
2022-05-20 00:00:40,BTC,1 Day,29188.7,26,21,42.5,34,26.5,26.5,39,1,52,94.5,34.5
2022-05-21 00:00:39,BTC,1 Day,30276.2,37,31.5,41.5,36.5,39,33.5,84,1,52,99,38
2022-05-22 00:00:41,BTC,1 Day,29223.6,29,30.5,42,37,31.5,26.5,2,5.5,28.5,99,55
2022-05-23 00:00:39,BTC,1 Day,29328.5,41,32,59.5,61.5,51,34.5,49.5,2,39,99,51
2022-05-24 00:00:39,BTC,1 Day,30067.9,42,38,44.5,43.5,48.5,38,70.5,1,43.5,97.5,54
2022-05-25 00:00:37,BTC,1 Day,29273.4,47,47,56.5,55.5,52.5,26.5,71.5,1,42.5,96,56.5
2022-05-26 00:00:39,BTC,1 Day,29597.9,46,45,55.5,57,51.5,30,71,1,38,98,68
2022-05-27 00:00:39,BTC,1 Day,29830.1,43,53,45.5,42,45,33.5,15,1,28.5,98.5,67.5
2022-05-28 00:00:38,BTC,1 Day,29569.2,46,52.5,53.5,58,51.5,34.5,15.5,1,29.5,99,66
2022-05-29 00:00:38,BTC,1 Day,28703.3,36,47.5,46.5,37.5,36.5,26.5,2.5,1,18,99,53
2022-05-30 00:00:42,BTC,1 Day,29000.1,36,45.5,45,34.5,36,34.5,9,1,26,98,67.5
2022-05-31 00:00:37,BTC,1 Day,29257.4,39,40.5,46.5,40,45,30,16,1,41.5,98.5,61
2022-06-01 00:00:38,BTC,1 Day,31878.5,64,58.5,53.5,56.5,87,54.5,80,2.5,26,95.5,57.5
2022-06-02 00:00:39,BTC,1 Day,31693.4,66,55.5,63,62.5,92.5,45.5,73,3,44,99,73.5
2022-06-03 00:00:39,BTC,1 Day,29551,57,53.5,69.5,62.5,75,24.5,54,17,18.5,93.5,47.5
2022-06-04 00:00:39,BTC,1 Day,30383.6,40,50.5,31.5,31.5,40.5,42.5,43.5,1,21,98.5,71
